Title,IMDB id,Year,Rating,Genre,Top_cast
Pyaar Ka Punchnama,tt1926313,2011,7.6,"Comedy, Drama, Romance","Kartik Aaryan, Ashish Chhipa, Raayo S. Bakhirta  "
Hindi Medium,tt5764096,2017,7.8,"Comedy, Drama"," Irrfan Khan, Saba Qamar, Dishita Sehgal  "
Parmanu: The Story of Pokhran,tt6826438,2018,7.6,"Action, Drama, History","John Abraham, Boman Irani, Diana Penty  "
The Namesake,tt0433416,2006,7.5,Drama," Kal Penn, Tabu, Irrfan Khan  "
Secret Superstar,tt6108090,2017,7.8,"Drama, Music"," Zaira Wasim, Meher Vij, Raj Arjun "
Omkara,tt0488414,2006,8,"Action, Crime, Drama, Thriller"," Ajay Devgn, Kareena Kapoor, Saif Ali Khan  "
"The Good, the Bad and the Ugly",tt0060196,2015,7.5,"Short, Action, Fantasy, Sci-Fi, Western","Troy Manning, Wolfgang Moser, Joe Palermo  "
Hum Aapke Hain Koun..!,tt0110076,1994,7.5,"Comedy, Drama, Musical, Romance","Madhuri Dixit, Salman Khan, Mohnish Behl  "
Sonu Ke Titu Ki Sweety,tt7581902,2018,7.1,"Comedy, Romance ","Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh  "
Wanted,tt1084972,2020,6.9,"Action, Crime, Drama, Mystery, Thriller","Roxy Sternberg, Keisha Castle-Hughes, Alexa Da...  "
Jab Harry Met Sejal,tt5997666,2017,5.1,"Comedy, Drama, Romance","Shah Rukh Khan, Anushka Sharma, Björn Freiberg  "
RamLeela,tt5365246,2015,5.9,"Comedy, Drama","Chiranjeevi Sarja, Amulya, Urvashi  "
Kabhi Alvida Naa Kehna,tt0449999,2006,6,"Drama, Romance","Amitabh Bachchan, Shah Rukh Khan, Abhishek Bac...  "
Rocket Singh: Salesman of the Year,tt1434447,2009,7.5,"Comedy, Drama","Ranbir Kapoor, Prem Chopra, Mukesh S. Bhatt  "
Black Friday,tt11649338,2021,4.7,"Comedy, Horror","Devon Sawa, Ivana Baquero, Ryan Lee  "
Dhoom,tt0422091,2004,6.6,"Action, Crime, Drama, Thriller","Abhishek Bachchan, John Abraham, Uday Chopra  "
Manjhi: The Mountain Man,tt3449292,2015,8,"Biography, Drama","Nawazuddin Siddiqui, Radhika Apte, Ashutosh Ac...  "
Krrish,tt0432637,2006,6.4,"Action, Adventure, Sci-Fi","Hrithik Roshan, Priyanka Chopra Jonas, Rekha  "
Tumbbad,tt8239946,2018,8.2,"Drama, Fantasy, Horror, Thriller ","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar  "
Kabhi Haan Kabhi Naa,tt0110222,1994,7.6,"Comedy, Drama, Music, Musical, Romance","Shah Rukh Khan, Suchitra Krishnamoorthi, Deepa...  "
Prem Ratan Dhan Payo,tt3595298,2015,4.4,"Action, Drama, Musical, Romance","Salman Khan, Sonam Kapoor, Neil Nitin Mukesh  "
Gol Maal,tt0079221,1979,8.5,"Comedy, Romance","Amol Palekar, Bindiya Goswami, Deven Verma  "
Welcome,tt26653824,2013,6.1,"Action, Crime, Thriller","James McAvoy, Mark Strong, Andrea Riseborough  "
Thugs of Hindostan,tt5970844,2018,4,"Action, Adventure","Aamir Khan, Amitabh Bachchan, Lloyd Owen  "
Guzaarish,tt1438298,2010,7.4,"Drama, Romance","Hrithik Roshan, Aishwarya Rai Bachchan, Sherna...  "
Hum Dil De Chuke Sanam,tt0150992,1999,7.4," Comedy, Drama, Musical, Romance","Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn  "
Jai Ho,tt1188982,2014,5,"Action, Drama","Salman Khan, Daisy Shah, Tabu  "
Simmba,tt7212726,2018,5.5,"Action, Crime, Drama","Ranveen Singh, Sara Ali Khan, Sonu Sood"
Toilet: A Love Story,tt5785170,2017,7.2,"Comedy, Drama, Romance ","Akshay Kumar, Bhumi Pednekar, Anupam Kher"
Dum Laga Ke Haisha,tt3495030,2015,7.5,"Comedy, Drama, Romance","Bhumi pednekar, Ayushmann Khurrana, Sanjay Mishra"
Kaminey,tt1274295,2009,7.4,"Action, Crime, Drama, Thriller","Shahid Kapoor, Priyanka Chopra Jonas, Deb Mukh...  "
Baadshah,tt0211934,1999,6.8,"Action, Comedy, Crime, Romance, Thriller","Shah Rukh Khan, Twinkle Khanna, Amrish Puri  "
Badla,tt0357459,2019,7.7,"Crime, Drama, Mystery, Thriller","Amitabh Bachchan, Taapsee Pannu, Antonio Aakeel "
In Your Name,tt0374271,2003,7.2,"Action, Drama, Romance","Salman Khan, Bhoomika Chawla, Sachin Khedekar  "
Once Upon a Time in Mumbaai,tt1395054,2010,7.4,"Action, Crime, Drama, Romance"," Ajay Devgn, Emraan Hashmi, Kangana Ranaut  "
Jolly LLB,tt2621000,2013,7.5,"Comedy, Crime, Drama","Arshad Warsi, Amrita Rao, Boman Irani  "
Oye Lucky! Lucky Oye!,tt1292703,2008,7.7,"Comedy, Crime, Drama","Abhay Deol, Paresh Rawal, Nitu Chandra  "
The Villain,tt3175038,1979,5.3,"Comedy, Western ","Kirk Douglas, Ann-Margret, Arnold Schwarzenegger  "
Seeking True Love,tt6967980,2017,7.5,"Comedy, Romance","Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao "
Iqbal,tt0453729,2005,8.1,"Drama, Sport"," Shreyas Talpade, Naseeruddin Shah, Shweta Basu...  "
Sarkar,tt7715202,2018,6.7,"Action, Drama","Joseph Vijay, Varalaxmi Sarathkumar, Yogi Babu  "
Detective Byomkesh Bakshy!,tt3447364,2015,7.6,"Action, Crime, Drama, Mystery, Thriller","Sushant Singh Rajput, Anand Tiwari, Neeraj Kabi  "
Death Race 2000,tt0072856,1975,6.2,"Action, Comedy, Sci-Fi, Sport","David Carradine, Simone Griffeth, Sylvester St...  "
Gangaajal,tt0373856,2003,7.8,"Action, Crime, Drama","Ajay Devgn, Gracy Singh, Mohan Joshi  "
Baghban,tt0337578,2003,7.4,"Drama, Romance","Amitabh Bachchan, Hema Malini, Salman Khan  "
Khakee,tt0347332,2004,7.4,"Action, Crime, Drama, Thriller","Amitabh Bachchan, Akshay Kumar, Ajay Devgn  "
Band Baaja Baaraat,tt1610452,2010,7.2,"Comedy, Drama, Romance","Ranveer Singh, Anushka Sharma, Ranjit Batra  "
Dabangg 2,tt2112131,2012,4.8,"Action, Comedy, Crime","Salman Khan, Sonakshi Sinha, Prakash Raj  "
Super 30,tt7485048,2019,7.9,"Biography, Drama","Hrithik Roshan, Mrunal Thakur, Nandish Singh S...  "
Phir Hera Pheri,tt0419058,2006,7.3,"Comedy, Crime "," Akshay Kumar, Suniel Shetty, Paresh Rawal  "
Robber,tt2224317,2013,7.4,"Drama, Romance","Ranveer Singh, Sonakshi Sinha, Barun Chanda  "
Newton,tt6484982,2017,7.6,"Comedy, Drama ","Rajkummar Rao, Pankaj Tripathi, Anjali Patil  "
Love Aaj Kal,tt10023024,2020,4.7,"Drama, Romance"," Kartik Aaryan, Sara Ali Khan, Randeep Hooda  "
Chalte Chalte,tt0346723,2003,6.5,"Drama, Romance","Shah Rukh Khan, Rani Mukerji, Jas Arora  "
Golmaal: Fun Unlimited,tt0495034,2006,7.5,"Action, Comedy, Drama","Ajay Devgn, Arshad Warsi, Sharman Joshi  "
Shahid,tt2181831,2012,8.2,"Biography, Drama","Rajkummar Rao, Prabhleen Sandhu, Mohd. Zeeshan..."
Company,tt0296574,1976,7.5,Comedy,"John Ritter, Joyce DeWitt, Richard Kline  "
The Legend of Bhagat Singh,tt0319736,2002,8.1,"Action, Biography, Drama, History","Ajay Devgn, Sushant Singh, D. Santosh  "
Article 15,tt10324144,2019,8.1,"Crime, Drama, Mystery, Thriller","Ayushmann Khurrana, Nassar, Manoj Pahwa  "
Student of the Year 2,tt7255568,2019,2.2,"Action, Comedy, Drama, Romance, Sport","Tiger Shroff, Ananya Panday, Tara Sutaria  "
Singh Is King,tt1146325,2008,5.7,"Action, Comedy, Crime, Drama, Romance","Akshay Kumar, Katrina Kaif, Om Puri  "
Singham,tt1948150,2011,6.8,"Action, Drama","Ajay Devgn, Kareena Kapoor, Deepika Padukone  "
Raid,tt7363076,2011,7.6,"Action, Crime, Thriller","Iko Uwais, Joe Taslim, Donny Alamsyah  "
Dil Dhadakne Do,tt4110568,2015,7,"Comedy, Drama, Romance","Anil Kapoor, Shefali Shah, Priyanka Chopra Jonas  "
Pyaar Ka Punchnama 2,tt4430136,2015,7.3,"Comedy, Drama, Romance"," Kartik Aaryan, Omkar Kapoor, Sunny Singh  "
Tubelight,tt5882970,2017,3.9,"Drama, War","Salman Khan, Sohail Khan, Om Puri  "
Dostana,tt1185420,2008,6.4,"Comedy, Drama, Romance","Abhishek Bachchan, John Abraham, Priyanka Chop...  "
Pardes,tt0119861,1997,6.9,"Drama, Musical, Romance","Shah Rukh Khan, Mahima Chaudhry, Amrish Puri  "
Gulaal,tt1261047,2009,8,"Crime, Drama, Thriller","Kay Kay Menon, Raj Singh Chaudhary, Raja Chaud...  "
Mr. India,tt0093578,1987,7.7,"Action, Comedy, Drama, Family, Musical, Sci-Fi"," Anil Kapoor, Sridevi, Amrish Puri  "
Student of the Year 2,tt7255568,2019,2.2,"Action, Comedy, Drama, Romance, Sport","Tiger Shroff, Ananya Panday, Tara Sutaria  "
Hasee Toh Phasee,tt3173910,2014,6.8,"Comedy, Romance","Sidharth Malhotra, Parineeti Chopra, Adah Sharma  "
Kaho Naa... Pyaar Hai,tt0234000,2000,6.9,"Action, Musical, Romance, Thriller","Hrithik Roshan, Ameesha Patel, Anupam Kher  "
Nayak: The Real Hero,tt0291376,2001,7.8,"Action, Drama, Thriller","Anil Kapoor, Rani Mukerji, Amrish Puri  "
Cocktail,tt0094889,1988,5.9,"Comedy, Drama, Romance","Tom Cruise, Bryan Brown, Elisabeth Shue  "
Garam Masala,tt0453671,2005,6.7,"Comedy, Romance","Akshay Kumar, John Abraham, Paresh Rawal  "
Mujhse Shaadi Karogi,tt0418362,2004,6.7,"Comedy, Romance","Salman Khan, Akshay Kumar, Priyanka Chopra Jonas  "
Hum Tum,tt0378072,2004,7,"Comedy, Drama, Romance","Saif Ali Khan, Rani Mukerji, Kirron Kher  "
Housefull 2,tt1980986,2012,5.3,"Action, Comedy, Drama, Musical, Romance","Akshay Kumar, John Abraham, Asin Thottumkal  "
Mulk,tt7618184,2018,7.3,Drama,"Taapsee Pannu, Rishi Kapoor, Ashutosh Rana  "
Tanu Weds Manu,tt1694542,2011,6.8,"Comedy, Romance","Madhavan, Kangana Ranaut, Jimmy Shergill  "
Desi Boyz,tt1985981,2011,5.7,"Comedy, Romance","Akshay Kumar, John Abraham, Deepika Padukone  "
Satya,tt0195231,1988,8.3,"Action, Crime, Drama, Thriller","Chakravarthi, Manoj Bajpayee, Urmila Mato...  "
Saaho,tt6836936,2019,5,"Action, Thriller","Prabhas, Shraddha Kapoor, Jackie Shroff  "
