Title,IMDB id,Year,Rating,Genre,Top_cast
Dhoom:2,tt0441048,2006,6.5,"Action, Crime, Thriller","Hrithik RoshanAryan…, Abhishek BachchanJai Dixit, Aishwarya Rai BachchanSunehri(as Aishwarya Rai)"
Badhaai Ho,tt7725596,2018,7.9,"Comedy, Drama","Ayushmann KhurranaNakul Kaushik, Neena GuptaPriyamvada Kaushik, Gajraj RaoJeetender Kaushik"
Zero Dark Thirty,tt1790885,2012,7.4,"Drama, History, Thriller","Jessica ChastainMaya, Joel EdgertonPatrick - Squadron Team Leader, Chris PrattJustin - DEVGRU"
Gabbar Is Back,tt2424988,2015,7,"Action, Crime, Drama","Akshay KumarProf. Aditya Singh Rajput…, Shruti HaasanShruti(as Shruti K. Haasan), Kareena KapoorSunaina Singh Rajput"
Madras Cafe,tt2855648,2013,7.6,"Action, Drama, Thriller","John AbrahamVikram Singh, Nargis FakhriJaya Sahni, Raashi KhannaRuby(as Rashi Khanna)"
Darr,tt0109555,1993,7.6,"Action, Drama, Romance","Juhi ChawlaKiran Awasti, Sunny DeolSunil Malhotra, Shah Rukh KhanRahul Mehra"
Agneepath,tt1849718,2012,6.9,"Action, Crime, Drama","Hrithik RoshanVijay Deenanath Chauhan, Priyanka Chopra JonasKaali(as Priyanka Chopra), Sanjay DuttKancha Cheena"
Rustom,tt5165344,2016,7,"Crime, Drama, Thriller","Akshay KumarRustom Pavri, Ileana D'CruzCynthia Pavri, Arjan BajwaVikram Makhija"
Bodyguard,tt7493974,2018,8.1,"Crime, Drama, Thriller","Richard MaddenDavid Budd7 eps • 20187 episodes • 2018, Sophie RundleVicky Budd6 eps • 20186 episodes • 2018, Vincent FranklinMike Travis6 eps • 20186 episodes • 2018"
Kapoor & Sons,tt4900716,2016,7.7,"Comedy, Drama, Family","Rishi KapoorAmarjeet Kapoor, Rajat KapoorHarsh Kapoor - Dad, Ratna Pathak ShahSunita Kapoor - Mom(as Ratna Pathak)"
Khosla Ka Ghosla!,tt0466460,2006,8.2,"Comedy, Crime, Drama","Anupam KherKamal Kishore Khosla, Boman IraniKishan Khurana, Parvin DabasChiraunjilal 'Cherry' Khosla"
Kabir Singh,tt8983202,2019,7,"Action, Drama, Romance","Shahid KapoorKabir Rajdheer Singh, Kiara AdvaniPreeti Sikka, Nikita DuttaJia Sharma"
Chitty Chitty Bang Bang,tt0062803,1968,6.9,"Adventure, Family, Fantasy","Dick Van DykeCaractacus Potts, Sally Ann HowesTruly Scrumptious, Lionel JeffriesGrandpa Potts"
Guru,tt0499375,2007,7.7,Drama,"Mithun ChakrabortyManikdas Gupta, Abhishek BachchanGurukant Desai, Aishwarya Rai BachchanSujata(as Aishwarya Rai)"
Raazi,tt7098658,2018,7.7,"Action, Drama, Thriller","Alia BhattSehmat Khan, Vicky KaushalIqbal Syed, Rajit KapoorHidayat Khan"
Jo Jeeta Wohi Sikandar,tt0104561,1992,8.1,"Comedy, Drama, Romance","Aamir KhanSanjaylal Sharma, Ayesha JhulkaAnjali, Deepak TijoriShekhar Malhotra"
Badlapur,tt3678782,2015,7.4,"Action, Crime, Drama","Varun DhawanRaghav Purohit, Nawazuddin SiddiquiLiak Tungekar, Yami GautamMisha"
Masaan,tt4635372,2015,8.1,Drama,"Richa ChadhaDevi Pathak(as Richa Chadda), Sanjay MishraVidyadhar Pathak, Vicky KaushalDeepak Chaudhary"
Namastey London,tt0795434,2007,7.1,"Comedy, Drama, Romance","Akshay KumarArjun Ballu Singh, Katrina KaifJasmeet 'Jazz' M. Malhotra, Rishi KapoorManmohan Malhotra"
Tiger Zinda Hai,tt5956100,2017,5.9,"Action, Adventure, Thriller","Salman KhanTiger…, Katrina KaifZoya, Paresh RawalTheuban…"
Rock On!!,tt1230165,2008,7.7,"Drama, Music","Arjun RampalJoseph 'Joe' Mascarenhas, Farhan AkhtarAditya 'Adi' Shroff, Luke KennyRob Nancy"
Bhool Bhulaiyaa,tt0995031,2007,7.4,"Comedy, Horror, Mystery","Akshay KumarDr. Aditya Shrivastav, Vidya BalanAvni Chaturvedi, Shiney AhujaSiddharth Chaturvedi"
Koi... Mil Gaya,tt0254481,2003,7.1,"Action, Drama, Fantasy","RekhaSonia Mehra, Hrithik RoshanRohit Mehra, Preity G ZintaNisha(as Preity Zinta)"
The Heart Is Crazy,tt0118983,1997,7,"Comedy, Drama, Musical","Shah Rukh KhanRahul, Madhuri DixitPooja, Karisma KapoorNisha"
Neerja,tt5286444,2016,7.6,"Biography, Drama, Thriller","Sonam KapoorNeerja Bhanot, Shabana AzmiRama Bhanot, Yogendra TikkuHarish Bhanot"
Ae Dil Hai Mushkil,tt4559006,2016,5.8,"Drama, Music, Musical","Ranbir KapoorAyan Sanger, Aishwarya Rai BachchanSaba, Anushka SharmaAlizeh"
Lakshya,tt0323013,2004,7.8,"Action, Drama, Romance","Hrithik RoshanKaran Shergill, Preity G ZintaRomila 'Romi' Dutta(as Preity Zinta), Amitabh BachchanCol. Sunil Damle"
Pyaar Ka Punchnama,tt1926313,2011,7.6,"Comedy, Drama, Romance","Kartik AaryanRajat(as Kartik Tiwari)…, Ashish ChhipaJeet Sharma, Raayo S. BakhirtaVikrant Choudhary"
Hindi Medium,tt5764096,2017,7.8,"Comedy, Drama","Irrfan KhanRaj Batra, Saba QamarMita Batra, Dishita SehgalPia Batra"
Parmanu: The Story of Pokhran,tt6826438,2018,7.6,"Action, Drama, History","John AbrahamCapt. Ashwat Rana, Boman IraniHimanshu Shukla, Diana PentyCapt. Ambalika"
